Agency,Sub_contractor,Cluster,ULB,Quantity_to_be_Remediated_x,Date,Quantity_remediated_today,Balance_Quantity,percentage_of_completion,Cumulative_till_date,Quantity_to_be_Remediated_y,Machine_capacity_per_day,No_of_machines,Days_since_start
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/26/2025,1255,373118,6.7205,26882,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/26/2025,630,68450,15.47086863,12528,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/26/2025,814,16188,47.1049536,14416,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/26/2025,0,298195,0.6016666667,1805,300000,3400,3,5/26/2025
Tharuni,Tharuni,Kakinada,Amalapuram,27543,5/26/2025,0,26405,4.131721308,1138,27543,600,1,5/11/2025
Tharuni,Tharuni,Chilakaluripet,Guntur,43811,5/26/2025,0,30444,30.51060236,13367,43811,900,1,4/9/2025
Zigma,Zigma,Nellore Municipal Corporation,Allipuram,35000,5/26/2025,430,18467,47.23714286,16533,35000,800,1,4/19/2025
Zigma,Zigma,Nellore Municipal Corporation,Donthali,289479,5/26/2025,0,289048,0.148888175,431,289479,1400,2,5/25/2025
Zigma,Zigma,GVMC,GVMC,201400,5/26/2025,1639,91061,54.78599801,110339,201400,1300,1,3/10/2025
Zigma,Zigma,Chittoor,Madanapalle,27532,5/26/2025,0,26000,5.564434113,1532,27532,500,1,5/21/2025
Saurashtra,Saurashtra,Kurnool,Kurnool,67308,5/26/2025,557,39547,41.24472574,27761,67308,1800,1,4/29/2025
Saurashtra,Saurashtra,Nandyal,Nandyal,80083,5/26/2025,685,57837,27.77867962,22246,80083,1800,1,4/28/2025
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,400000,5/25/2025,1571,374373,6.40675,25627,400000,2800,3,5/6/2025
Tharuni,Tharuni,Rajahmundry,Srikakulam,80978,5/25/2025,833,69080,14.69287955,11898,80978,1500,2,5/5/2025
Tharuni,Tharuni,Rajahmundry,Vizianagaram,30604,5/25/2025,788,17002,44.44517057,13602,30604,800,1,4/26/2025
Tharuni,Tharuni,Kakinada,Kakinada,300000,5/25/2025,0,298195,0.6016666667,1805,300000,3400,3,5/26/2025
